"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"CVP","1993-04-29",12,1440,120,2344.83492096,195.40291008,1860.08784,39,1,3,0
"SWP","1993-04-30",12,1440,360,1834.92864,458.73216,1813.2156,8,3,0,0
"CVP","1993-04-30",12,1440,120,2023.92628992,168.66052416,1831.7178,11,0,0,0
"SWP","1993-05-01",12,1440,360,1834.92864,458.73216,1811.98212,8,1,0,1
"CVP","1993-05-01",12,1440,120,2278.57360896,189.88113408,1879.82352,14,0,1,0
"SWP","1993-05-02",10,1140,300,1878.7630464,498.4889472,1761.40944,9,4,0,0
"CVP","1993-05-02",12,1440,120,1946.0437632,162.1703136,1862.5548,21,0,0,0
"SWP","1993-05-03",9,960,270,1843.0838784,518.3673408,1911.894,7,5,1,0
"CVP","1993-05-03",12,1440,120,2210.47736832,184.20644736,1851.45348,27,1,0,0
"SWP","1993-05-04",9,1020,270,1958.2766208,518.3673408,1915.59444,6,2,0,1
"CVP","1993-05-04",12,1440,120,3989.13486336,332.42790528,1899.5592,34,0,0,0
"SWP","1993-05-05",9,960,270,1843.0838784,518.3673408,1788.546,13,0,0,3
"CVP","1993-05-05",12,1440,120,2555.85171456,212.98764288,1830.48432,14,0,0,0
"SWP","1993-05-06",9,1080,270,2073.4693632,518.3673408,2394.18468,5,0,2,0
"CVP","1993-05-06",12,1440,120,2443.71718656,203.64309888,1782.3786,20,0,1,0
"SWP","1993-05-07",8,1020,240,1958.2766208,460.7709696,1925.46228,31,2,0,1
"CVP","1993-05-07",12,1440,120,2288.15601408,190.67966784,1852.68696,39,1,7,0
"SWP","1993-05-08",8,960,240,1843.0838784,460.7709696,1805.81472,10,1,0,6
"CVP","1993-05-08",12,1440,120,2122.80855552,176.90071296,1924.2288,34,0,3,0
"SWP","1993-05-09",8,960,240,1843.0838784,460.7709696,1809.51516,9,0,0,31
"CVP","1993-05-09",12,1440,120,1645.3193472,137.1099456,1916.82792,15,0,0,2
"SWP","1993-05-10",8,960,240,1843.0838784,460.7709696,1794.7134,6,0,0,78
"CVP","1993-05-10",12,1440,120,1803.93873408,150.32822784,1922.99532,18,1,0,0
"SWP","1993-05-11",8,960,240,1843.0838784,460.7709696,1795.94688,16,0,0,11
"CVP","1993-05-11",11,1320,110,1752.56073216,146.04672768,1903.25964,25,0,0,2
